variable name,data type,register,documented name,unit,values,writable,note,,,,
,,31,GridVoltLimit1LowTime,ms,According to specific regulatory requirements,WD,Grid voltage level 1 undervoltage protection time,,,,
,,32,GridVoltLimit1HighTime,ms,According to specific regulatory requirements,WD,Grid voltage level 1 overvoltage protection time,,,,
,,33,GridVoltLimit2Low,0.1V,According to specific regulatory requirements,WD,Grid voltage level 2 undervoltage protection point,,,,
,,34,GridVoltLimit2High,0.1V,According to specific regulatory requirements,WD,Grid voltage level 2 overvoltage protection point,,,,
,,35,GridVoltLimit2LowTime,ms,According to specific regulatory requirements,WD,Grid voltage level 2 undervoltage protection time,,,,
,,36,GridVoltLimit2HighTime,ms,According to specific regulatory requirements,WD,Grid voltage level 2 overvoltage protection time,,,,
,,37,GridVoltLimit3Low,0.1V,According to specific regulatory requirements,WD,Grid voltage level 3 undervoltage protection point,,,,
,,38,GridVoltLimit3High,0.1V,According to specific regulatory requirements,WD,Grid voltage level 3 overvoltage protection point,,,,
,,39,GridVoltLimit3LowTime,ms,According to specific regulatory requirements,WD,Grid voltage level 3 undervoltage protection time,,,,
,,40,GridVoltLimit3HighTime,ms,According to specific regulatory requirements,WD,Grid voltage level 3 overvoltage protection time,,,,
,,41,GridVoltMovAvgHigh,0.1V,According to specific regulatory,WD,Grid voltage sliding average overvoltage protection point,,,,
,,42,GridFreqLimit1Low,0.01Hz,According to specific regulatory requirements,WD,Grid frequency level 1 underfrequency protection point,,,,
,,43,GridFreqLimit1High,0.01Hz,According to specific regulatory requirements,WD,Grid frequency level 1 overfrequency protection point,,,,
,,44,GridFreqLimit1LowTime,ms,According to specific regulatory requirements,WD,Grid frequency level 1 underfrequency protection time,,,,
,,45,GridFreqLimit1HighTime,ms,According to specific regulatory requirements,WD,Grid frequency level 1 overfrequency protection time,,,,
,,46,GridFreqLimit2Low,0.01Hz,According to specific regulatory requirements,WD,Grid frequency level 2 underfrequency protection point,,,,
,,47,GridFreqLimit2High,0.01Hz,According to specific regulatory requirements,WD,Power grid frequency level 2 overfrequency protection point,,,,
,,48,GridFreqLimit2LowTime,ms,According to specific regulatory requirements,WD,Grid frequency level 2 underfrequency protection time,,,,
,,49,GridFreqLimit2HighTime,ms,According to specific regulatory requirements,WD,Grid frequency level 2 overfrequency protection time,,,,
,,50,GridFreqLimit3Low,0.01Hz,According to specific regulatory requirements,WD,Grid frequency level 3 underfrequency protection point,,,,
,,51,GridFreqLimit3High,0.01Hz,According to specific regulatory requirements,WD,Grid frequency level 3 overfrequency protection point,,,,
,,52,GridFreqLimit3LowTime,ms,According to specific regulatory requirements,WD,Grid frequency level 3 underfrequency protection time,,,,
,,53,GridFreqLimit3HighTime,ms,According to specific regulatory requirements,WD,Grid frequency level 3 overfrequency protection time,,,,
,,54,MaxQPercentForQV,%,According to specific regulatory requirements,WD,The maximum percentage of reactive power for the Q(V) curve,,,,
,,55,V1L,0.1V,According to specific regulatory requirements,WD,Q(V) curve undervoltage 1,,,,
,,56,V2L,0.1V,According to specific regulatory requirements,WD,Q(V) curve undervoltage 2,,,,
,,57,V1H,0.1V,According to specific regulatory requirements,WD,Q(V) curve overvoltage 1,,,,
,,58,V2H,0.1V,According to specific regulatory requirements,WD,Q(V) curve overvoltage 2,,,,
,,59,ReactivePowerCMDType,,"{""0"":""unit power factor"",""1"":""fixed PF"",""2"":""default PF curve (American machine: Q(P))"",""3"":""custom PF curve"",""4"":""capacitive reactive power percentage"",""5"":""inductive reactive power percentage"",""6"":""QV curve"",""7"":""QV_Dynamic""}",W,Reactive power command type 0 - unit power factor 1 - fixed PF 2 - default PF curve (American machine: Q(P)) 3 - custom PF curve 4 - capacitive reactive power percentage 5- inductive reactive power percentage 6-QV curve 7-QV_Dynamic,,,,
,,60,ActivePowerPercentCMD,%,0-100,W,Active power percentage set value,,,,
,,61,ReactivePowerPercentCMD,%,0-60,W,Reactive power percentage set value,,,,
,,62,PFCMD,0.001,750-1000,W, 1750- 2000,,,,
,,63,PowerSoftStartSlope,%/min,1-4000,W,Loading rate,,,,
,,64,ChargePowerPercentCMD,%,0-100,W,Charging power percentage setting,,,,
,,65,DischgPowerPercentCMD,%,0-100,W,Discharging power percentage setting,,,,
,,66,ACChgPowerCMD,%,0-100,W,AC charge percentage setting,,,,
,,67,ACChgSOCLimit,%,0-100,W,SOC limit setting for AC charging,,,,
,8bit,68,ACChgStartHour,hour,0-23,W,AC charging start time - hour setting.,,,,
,8bit,68.b8,ACChgStartMinute,min,0-59,W,AC charging start time_minute setting,,,,
,8bit,69,ACChgEndHour,hour,0-23,W,AC charging end time_hour setting,,,,
,8bit,69.b8,ACChgEndMinute,min,0-59,W,AC charging end time_minute setting,,,,
,8bit,70,ACChgStartHour1,hour,0-23,W,AC charging start time_hour setting,,,,
,8bit,70.b8,ACChgStartMinute1,min,0-59,W,AC charging start time_minutesetting,,,,
,8bit,71,ACChgEndHour1,hour,0-23,W,AC charging end time_hour setting,,,,
,8bit,71.b8,ACChgEndMinute1,min,0-59,W,AC charging end time_minute setting,,,,
,8bit,72,ACChgStartHour2,hour,0-23,W,AC charging start time_hour setting,,,,
,8bit,72.b8,ACChgStartMinute2,min,0-59,W,AC charging start time_minute setting,,,,
,8bit,73,ACChgEndHour2,hour,0-23,W,AC charging end time_hour setting,,,,
,8bit,73.b8,ACChgEndMinute2,min,0-59,W,AC charging end time_minute setting,,,,
,,74,ChgFirstPowerCMD,%,0-100,W,Charging priority percentage setting,,,,
,,75,ChgFirstSOCLimit,%,0-100,W,Charging priority SOC limit setting,,,,
,8bit,76,ChgFirstStartHour,hour,0-23,W,Charging priority start time_hour setting,,,,
,8bit,76.b8,ChgFirstStartMinute,min,0-59,W,Charge priority start time_min setting,,,,
,8bit,77,ChgFirstEndHour,hour,0-23,W,Charging priority end time_hour setting,,,,
,8bit,77.b8,ChgFirstEndMinute,min,0-59,W,Charging priority end time_minute setting,,,,
,8bit,78,ChgFirstStartHour1,hour,0-23,W,Charging priority start time_hour setting,,,,
,8bit,78.b8,ChgFirstStartMinute1,min,0-59,W,Charging priority start time_min setting,,,,
,8bit,79,ChgFirstEndHour1,hour,0-23,W,Charging priority end time_hour setting,,,,
,8bit,79.b8,ChgFirstEndMinute1,min,0-59,W,Charging priority end time_minute setting,,,,
,8bit,80,ChgFirstStartHour2,hour,0-23,W,Charging priority start time_hour setting,,,,
,8bit,80.b8,ChgFirstStartMinute2,min,0-59,W,Charging priority start time_minute setting,,,,
,8bit,81,ChgFirstEndHour2,hour,0-23,W,Charging priority end time_hour setting,,,,
,8bit,81.b8,ChgFirstEndMinute2,min,0-59,W,Charging priority end time_minut setting,,,,
,,82,ForcedDischgPowerCMD,%,0-100,W,Forced discharge percentage setting,,,,
,,83,ForcedDischgSOCLimit,%,0-100,W,Forced discharge SOC limit setting,,,,
,8bit,84,ForcedDischgStartHour,hour,0-23,W,Forced discharge start time_hour setting,,,,
,8bit,84.b8,ForcedDischgStartMinute,min,0-59,W,Forced discharge start time_minute setting,,,,
,8bit,85,ForcedDischgEndHour,hour,0-23,W,Forced discharge end time_hour setting,,,,
,8bit,85.b8,ForcedDischgEndMinute,min,0-59,W,Forced discharge end time_minute setting,,,,
,8bit,86,ForcedDischgStartHour1,hour,0-23,W,Forced discharge start time_hour setting,,,,
,8bit,86.b8,ForcedDischgStartMinute1,min,0-59,W,Forced discharge start time_minute setting,,,,
,8bit,87,ForcedDischgEndHour1,hour,0-23,W,Forced discharge end time_hour setting,,,,
,8bit,87.b8,ForcedDischgEndMinute1,min,0-59,W,Forced discharge end time_minute setting,,,,
,8bit,88,ForcedDischgStartHour2,hour,0-23,W,Forced discharge start time_hour setting,,,,
,8bit,88.b8,ForcedDischgStartMinute2,min,0-59,W,Forced discharge start time_minute setting,,,,
,8bit,89,ForcedDischgEndHour2,hour,0-23,W,Forced discharge end time_hour setting,,,,
,8bit,89.b8,ForcedDischgEndMinute2,min,0-59,W,Forced discharge end time_minute setting,,,,
,,90,EPSVoltageSet,1V,208~277,W,240,Off-grid output voltage level setting,Off-grid output voltage level setting,Off-grid output voltage level setting,Off-grid output voltage level setting
,,91,EPSFreqSet,1Hz,50~60,W,60,,,,
,,92,LockInGridVForPFCurve,0.1V,2300-3000,W,cosphi(P)lock in voltage,,,,
,,93,LockOutGridVForPFCurve,0.1V,1500-3000,W,cosphi(P)lock out voltage,,,,
,,94,LockInPowerForQVCurve,%,0-100,W,Q(V) lock in power,,,,
,,95,LockOutPowerForQVCurve,%,0-100,W,Q(V) lock out power,,,,
,,96,DelayTimeForQVCurve,ms,0-2000,W,Q(V) delay,,,,
,,97,DelayTimeForOverFDerate,ms,0-1000,W,Overfrequency load reduction delay,,,,
,,99,ChargeVoltRef,0.1V,500-590,W,Lead-acid battery charging specified voltage,,,,
,,100,CutVoltForDischg,0.1V,400-520,W,Lead-acid battery discharge cut- off voltage,,,,
,,101,ChargeRate ChargeCurr,A,0-140,W,Charging current,,,,
,,102,DischgRate DischgCurr,A,0-140,W,Discharging current,,,,
,,103,MaxBackFlow,%,0-100,W,Feed-in grid power setting,,,,
,,105,EOD,%,10~90,W,Cut SOC for discharging,,,,
,,106,TemprLowerLimitDischg,0.1C,0-65536,W,Lead-acid Temperature low limit for discharging,,,,
,,107,TemprUpperLimitDischg,0.1C,0-65536,W,Lead-acid Temperature high limit for discharging,,,,
,,108,TemprLowerLimitChg,0.1C,0-65536,W,Lead-acid Temperature low limit for charging,,,,
,,109,TemprUpperLimitChg,0.1C,0-65536,W,Lead-acid Temperature high limit for charging,,,,
,1bit,110,FunctionEn1_ubPVGridOffEn,,0~1,W,1,,,,
,1bit,110.b1,FunctionEn1_ubFastZero Export,,"{""0"": ""disable"", ""1"": ""enable""}",W,0 - disable 1 - enable,,,,
,1bit,110.b2,FunctionEn1_ubMicroGridEn,,"{""0"": ""disable"", ""1"": ""enable""}",W,0 - disable 1 - enable,,,,
,1bit,110.b3,FunctionEn1_ ubBatShared,,"{""0"": ""disable"", ""1"": ""enable""}",W,0 - disable 1 - enable,,,,
,1bit,110.b4,FunctionEn1_ ubChgLastEn,,"{""0"": ""disable"", ""1"": ""enable""}",W,0 - disable 1 - enable,,,,
,2bit,110.b5,FunctionEn1_ CTSampleRatio,,"{""0"":""1/1000"",""1"":""1/3000""}",W,0 : 1/1000 1- 1/3000,,,,
,1bit,110.b7,FunctionEn1_ BuzzerEn,,"{""0"": ""disable"", ""1"": ""enable""}",W,0-disable 1-enable,,,,
,2bit,110.b8,FunctionEn1_ PVCTSampleType,,"{""0"":""PV power"",""1"":""SpecLoad""}",W,0-PV power 1-SpecLoad,,,,
,1bit,110.b10,FunctionEn1_ TakeLoadTogether,,"{""0"": ""disable"", ""1"": ""enable""}",W,For off-grid: 0-disable 1- enable,,,,
,1bit,110.b11,FunctionEn1_ OnGridWorkingMode,,0~1,W,For 12K: consistant chk mask 0- disable 1-enable 0-self consumption 1-Charge First,,,,
,2bit,110.b12,FunctionEn1_ PVCTSampleRatio,,"{""0"":""1/1000"",""1"":""1/3000""}",W,0 : 1/1000 1- 1/3000,,,,
,1bit,110.b14,FunctionEn1_GreenModeEn,,"{""0"": ""disable"", ""1"": ""enable""}",W,0-disable 1- enable,,,,
,1bit,110.b15,FunctionEn1_EcoModeEn,,"{""0"": ""disable"", ""1"": ""enable""}",W,0-disable 1- enable,,,,
,,112,SetSystemType,,"{""0"":""no parallel (single one)"",""1"":""Single-phase parallel operation forms a single-phase system. (Primary, which will not show on off-grid mode)"",""2"":""Secondary (will not show on off-grid mode)"",""3"":""Single phase parallel operation forms a three phase system (Primary, which will not show on off-grid mode)""}",W,1, which will not show on off-grid mode), which will not show on off-grid mode), which will not show on off-grid mode), which will not show on off-grid mode)
,,113,SetComposedPhase,,1-3,W,Parallel phase setting 1-R 2-S 3-T,,,,
,,114,ClearFunction,,1,WD,Parallel Alarm clear1- clear,,,,
,,115,OVFDerateStartPoint,0.01Hz,5000-5200,W,Overfrequency load reduction start frequency point,,,,
,,116,PtoUserStartdischg,1W,50W-,W,Ptouser: value of discharging initiate,,,,
,,117,PtoUserStartchg,1W,- -50W,W,Ptouser: starts AC charging less than this value,,,,
,,118,VbatStartDerating,0.1V,>CutVoltForDisc hg+2V,W,For lead-acid battery,,,,
,short,119,wCT_PowerOffset,1W,-1000~1000,W,"signed short int; CT Power compensation, PtoUser direction is positive.",,,,
,1bit,120,stSysEnable_bit_HalfHourACChrStartEn,Bit0,0~1,W,1,,,,
,3bit,120.b1,stSysEnable_bit_ACChargeType,,"{""0"":""disable"",""1"":""according to time"",""2"":""according to voltage"",""3"":""according to SOC"",""4"":""according to VoltageandTime"",""5"":""according to SOC and Time""}",W,0-disable 1-according to time 2-accoridng to voltage 3-according to SOC For 12K: 0 - according to time4-according to VoltageandTime5-according to SOC andTime,,,,
,2bit,120.b4,stSysEnable_bit_DischgCtrlType,,"{""0"":""according to voltage"",""1"":""according to SOC"",""2"":""according to both""}",W,0-according to voltage 1- according to SOC 2- according to both,,,,
,1bit,120.b6,stSysEnable_bit_OnGridEODType,,"{""0"":""according to voltage"",""1"":""according to SOC""}",W,0-according to voltage 1- according to SOC,,,,
,1bit,120.b7,stSysEnable_bit_ GenChargeType,,"{""0"":""According to Battery voltage"",""1"":""According to Battery SOC""}",W,0-According to Battery voltage1-According to Battery SOC,,,,
,,124,OVFDerateEndPoint,0.01Hz,5000-5200,W,Overfrequency load reduction ends at the frequency point,,,,
,,125,SOCLowLimitForEPSDischg,%,0-EOD,W,SOC low limit for EPS discharge,,,,
,2bit,126,OptimalChg_DisChg_Time0,,0~2,W,"0:00~0:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge",,,,
,2bit,126.b2,OptimalChg_DisChg_Time1,,0~2,W,0:30~1:00 Mark of time period charging and discharging.,,,,
,2bit,126.b4,OptimalChg_DisChg_Time2,,0~2,W,1:00~1:30 Mark of time period charging and discharging.,,,,
,2bit,126.b6,OptimalChg_DisChg_Time3,,0~2,W,,,,,
,2bit,126.b8,OptimalChg_DisChg_Time4,,0~2,W,,,,,
,2bit,126.b10,OptimalChg_DisChg_Time5,,0~2,W,,,,,
,2bit,126.b12,OptimalChg_DisChg_Time6,,0~2,W,,,,,
,2bit,126.b14,OptimalChg_DisChg_Time7,,0~2,W,3:30~4:00 Mark of time period charging and discharging.,,,,
,2bit,127,OptimalChg_DisChg_Time8,,0~2,W,"4:00~4:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge",,,,
,2bit,127.b2,OptimalChg_DisChg_Time9,,0~2,W,4:30~5:00 Mark of time period charging and discharging.,,,,
,2bit,127.b4,OptimalChg_DisChg_Time10,,0~2,W,5:00~5:30 Mark of time period charging and discharging.,,,,
,2bit,127.b6,OptimalChg_DisChg_Time11,,0~2,W,,,,,
,2bit,127.b8,OptimalChg_DisChg_Time12,,0~2,W,,,,,
,2bit,127.b10,OptimalChg_DisChg_Time13,,0~2,W,,,,,
,2bit,127.b12,OptimalChg_DisChg_Time14,,0~2,W,,,,,
,2bit,127.b14,OptimalChg_DisChg_Time15,,0~2,W,7:30~8:00 Mark of time period charging and discharging.,,,,
,2bit,128,OptimalChg_DisChg_Time16,,0~2,W,"8:00~8:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge",,,,
,2bit,128.b2,OptimalChg_DisChg_Time17,,0~2,W,8:30~9:00 Mark of time period charging and discharging.,,,,
,2bit,128.b4,OptimalChg_DisChg_Time18,,0~2,W,9:00~9:30 Mark of time period charging and discharging.,,,,
,2bit,128.b6,OptimalChg_DisChg_Time19,,0~2,W,,,,,
,2bit,128.b8,OptimalChg_DisChg_Time20,,0~2,W,,,,,
,2bit,128.b10,OptimalChg_DisChg_Time21,,0~2,W,,,,,
,2bit,128.b12,OptimalChg_DisChg_Time22,,0~2,W,,,,,
,2bit,128.b14,OptimalChg_DisChg_Time23,,0~2,W,11:30~12:00 Mark of time period charging and discharging.,,,,
,2bit,129,OptimalChg_DisChg_Time24,,0~2,W,"12:00~12:30 Mark of time period charging and discharging. Default: 0; 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge;",,,,
,2bit,129.b2,OptimalChg_DisChg_Time25,,0~2,W,12:30~13:00 Mark of time period charging and discharging.,,,,
,2bit,129.b4,OptimalChg_DisChg_Time26,,0~2,W,13:00~13:30 Mark of time period charging and discharging.,,,,
,2bit,129.b6,OptimalChg_DisChg_Time27,,0~2,W,,,,,
,2bit,129.b8,OptimalChg_DisChg_Time28,,0~2,W,,,,,
,2bit,129.b10,OptimalChg_DisChg_Time29,,0~2,W,,,,,
,2bit,129.b12,OptimalChg_DisChg_Time30,,0~2,W,,,,,
,2bit,129.b14,OptimalChg_DisChg_Time31,,0~2,W,17:00~17:30 Mark of time period charging and discharging.,,,,
,2bit,130,OptimalChg_DisChg_Time32,,0~2,W,"16:00~16:30 Mark of time period charging and discharging. 0 - does not operate, 1-AC charge, 2-PV charge, 3 - discharge;",,,,
,2bit,130.b2,OptimalChg_DisChg_Time33,,0~2,W,16:30~17:00 Mark of time period charging and discharging.,,,,
,2bit,130.b4,OptimalChg_DisChg_Time34,,0~2,W,,,,,
,2bit,130.b6,OptimalChg_DisChg_Time35,,0~2,W,,,,,
,2bit,130.b8,OptimalChg_DisChg_Time36,,0~2,W,,,,,
,2bit,130.b10,OptimalChg_DisChg_Time37,,0~2,W,,,,,
,2bit,130.b12,OptimalChg_DisChg_Time38,,0~2,W,,,,,
,2bit,130.b14,OptimalChg_DisChg_Time39,,0~2,W,19:30~20:00 Mark of time period charging and discharging.,,,,
,2bit,131,OptimalChg_DisChg_Time40,,0~2,W,20:00~20:30 Mark of time period charging and discharging. 0-does not operate,,,,
,2bit,131.b2,OptimalChg_DisChg_Time41,,0~2,W,20:30~21:00 Mark of time period charging and discharging.,,,,
,2bit,131.b4,OptimalChg_DisChg_Time42,,0~2,W,21:00~21:30 Mark of time period charging and discharging.,,,,
,2bit,131.b6,OptimalChg_DisChg_Time43,,0~2,W,,,,,
,2bit,131.b8,OptimalChg_DisChg_Time44,,0~2,W,,,,,
,2bit,131.b10,OptimalChg_DisChg_Time45,,0~2,W,,,,,
,2bit,131.b12,OptimalChg_DisChg_Time46,,0~2,W,,,,,
,2bit,131.b14,OptimalChg_DisChg_Time47,,0~2,W,23:30~0:00 Mark of time period charging and discharging.,,,,
,8bit,132,BatCellVoltLow,0.1V,0-200,W,Battery cell voltage lower limit.,,,,
,8bit,132.b8,BatCellVoltHigh,0.1V,0-200,W,Battery cell voltage upper limit,,,,
,8bit,133,BatCellSerialNum,1,0-200,W,Number of battery cells in series,,,,
,8bit,133.b8,BatCellParaNum,1,0-200,W,Number of battery cells in parallel,,,,
,,134,UVFDerateStartPoint,0.01Hz,4500-5000,W,Underfrequency load reduction starting point,,,,
,,135,UVFDerateEndPoint,0.01Hz,4500-5000,W,The end point of underfrequency load reduction,,,,
,,136,OVFDerateRatio,%Pm/Hz,1-100,W,Underfrequency load ramp rate,,,,
,,137,SpecLoadCompensate,w,0-65535,W,The maximum amount of compensation for a specific load,,,,
,,138,ChargePowerPercentCMD,0.1%,0-1000,W,Charging power percentage setting,,,,
,,139,DischgPowerPercentCMD,0.1%,0-1000,W,Discharging power percentage setting,,,,
,,140,ACChgPowerCMD,0.1%,0-1000,W,AC charge percentage setting,,,,
,,141,ChgFirstPowerCMD,0.1%,0-1000,W,Charging priority percentage setting,,,,
,,142,ForcedDischgPowerCMD,0.1%,0-1000,W,Forced discharge percentage setting,,,,
,,143,ActivePowerPercentCMD,0.1%,0-1000,W,Inverse active percentage setting,,,,
,,144,FloatChargeVolt,0.1V,500-560,W,Float charge voltage,,,,
,,145,OutputPrioConfig,,"{""0"": ""bat first"", ""1"": ""PV first"", ""2"": ""AC first"", ""3"":""Unknown""}",W,"0~3, 0-bat first 1-PV first 2-AC first",,,,
,,146,LineMode,,"{""0"": ""APL(90-280V 20ms)"", ""1"": ""UPS (170-280V 10ms)"", ""2"": ""GEN (90-280V 20ms)""}",W,0-APL(90-280V 20ms) 1-UPS (170-280V 10ms)2-GEN (90- 280V 20ms),,,,
,,147,Battery capacity,Ah,0-10000,W,Battery capacity,,,,
,,148,Battery nominal Voltage,0.1V,400-590,W,Battery rating voltage,,,,
,,149,EqualizationVolt,,500-590,W,Battery equalization voltage,,,,
,,150,EqualizationInterval,Day,0-365,W,Balancing interval,,,,
,,151,EqualizationTime,hour,0-24,W,Balancing duration,,,,
,8bit,152,ACFirstStartHour,hour,0-23,W,AC load start time_hours setting,,,,
,8bit,152.b8,ACFirstStartMinute,min,0-59,W,AC load start time _minutes setting,,,,
,8bit,153,ACFirstEndHour,hour,0-23,W,AC load end time _hours setting,,,,
,8bit,153.b8,ACFirstEndMinute,min,0-59,W,AC load end ime_minutes setting,,,,
,8bit,154,ACFirstStartHour1,hour,0-23,W,AC load start time_hours setting,,,,
,8bit,154.b8,ACFirstStartMinute1,min,0-59,W,AC load start time_minutes setting,,,,
,8bit,155,ACFirstEndHour1,hour,0-23,W,AC load end time_hours setting,,,,
,8bit,155.b8,ACFirstEndMinute1,min,0-59,W,AC load end time_minutes setting,,,,
,8bit,156,ACFirstStartHour2,hour,0-23,W,AC load start time_Hours setting,,,,
,8bit,156.b8,ACFirstStartMinute2,min,0-59,W,AC load start time_minutes setting,,,,
,8bit,157,ACFirstEndHour2,hour,0-23,W,AC load end time_hours setting,,,,
,8bit,157.b8,ACFirstEndMinute2,min,0-59,W,AC load end time_minutes setting,,,,
,,158,ACChgStartVolt,0.1V,385-520,W,Battery voltage of AC charging start,,,,
,,159,ACChgEndVolt,0.1V,480-590,W,Battery voltage of AC charging cut-off,,,,
,,160,ACChgStartSOC,%,0-90,W,SOC of AC charging start ,,,,
,,162,BatLowVoltage,0.1V,400-500,W,Battery undervoltage alarm point,,,,
,,163,BatLowBackVoltage,0.1V,420-520,W,Battery undervoltage alarm recovery point,,,,
,,164,BatLowSOC,%,0-90,W,Battery undervoltage alarm point,,,,
,,165,BatLowBackSOC,%,20-100,W,Battery undervoltage alarm recovery point,,,,
,,166,BatLowtoUtilityVoltage,0.1V,444-514,W,Voltage point for battery undervoltage to grid transfer,,,,
,,167,BatLowtoUtilitySOC,%,0-100,W,SOC for battery undervoltage to grid transfer,,,,
,,168,ACCharge Bat Current,A,0-140,W,Charge Current from AC,,,,
,,169,OngridEOD_Voltage,0.1V,400-560,W,On-grid end of dischage voltage,,,,
,,171,SOCCurve_BatVolt1,0.1V,400-600,W,SOC(V),,,,
,,172,SOCCurve_BatVolt 2,0.1V,400-600,W,,,,,
,,173,SOCCurve_SOC1,1%,0-100,W,,,,,
,,174,SOCCurve_SOC2,1%,0-100,W,,,,,
,,175,SOCCurve_InnerResista nce,m?,0-100,W,,,,,
,,176,MaxGridInputPower,W,0-65535,W,,,,,
,,177,GenRatePower,W,0-65535,W,,,,,
,1bit,179,uFunctionEn2_ACCTDirection,,0~1,W,1,,,,
,1bit,179.b1,uFunctionEn2_PVCTDirection,,0~1,W,1,,,,
,1bit,179.b2,uFunctionEn2_AFCIAlarmClr,,0~1,W,1,,,,
,1bit,179.b3,uFunctionEn2_BatWakeupEn PVSellFirst,,0~1,W,1,,,,
,1bit,179.b4,uFunctionEn2_VoltWattEn,,0~1,W,1,,,,
,1bit,179.b5,uFunctionEn2_TriptimeUnit,,0~1,W,1,,,,
,1bit,179.b6,uFunctionEn2_ActPowerCMDEn,,0~1,W,1,,,,
,1bit,179.b7,uFunctionEn2_ubGridPeakShaving,,0~1,W,1,,,,
,1bit,179.b8,uFunctionEn2_ubGenPeakShaving,,0~1,W,1,,,,
,1bit,179.b9,uFunctionEn2_ubBatChgcontrol,,0~1,W,1,,,,
