variable name;data_type;register;documented name;description;customer write;values;unit;Initial value;note;;;;;;;;;;;;
;;29;Moudle L;Inverter Moudle (low);W;P-battery type: 0: Lead_Acid;; 2: CustomLead_Acid; U-user type: 0: No verndor; 1: Sigineer; 2: CPS; 3: Haiti; M-power rate: 3: 3KW; 5:5KW; S-Aging; 0: Normal Mode; 1: Aging Mode;;;;Can be set at standy   state Only
;;30;Com Address;Communicate   address;W;1~254;;1;;;;;;;;;;;;;
;;31;FlashStart;Update firmware;W;0x0001: own 0X0100: control broad;;;;;;;;;;;;;;;
;;32;Reset User Info;Reset User Information;W;0x0001;;;;;;;;;;;;;;;
;;33;Reset to factory;Reset to factory;W;0x0001;;;;;;;;;;;;;;;
;;34;MaxChargeCurr;Max Charge Current;W;10~130;1A;70;;;;;;;;;;;;;
;;35;BulkChargeVolt;Bulk Charge Volt;W;500~580;0.1V;564;;;;;;;;;;;;;
;;36;FloatChargeVolt;Float Charge Volt;W;500~560;0.1V;540;;;;;;;;;;;;;
;;37;BatLowToUtiVolt;Bat Low Volt Switch To Uti;W;444~514;0.1V;464;;;;;;;;;;;;;
;;38;FloatChargeCurr;Float Charge Current;W;0~80;0.1A;;;;;;;;;;;;;;
;;39;Battery Type;Battery Type;W;"{""0"": ""Lead_Acid"", ""1"": ""Lithium"", ""2"": ""CustomLead_Acid""}";; 2: CustomLead_Acid;;;1;Can be set at standy   state Only;;;;;;;;;
;;40;Aging Mode;Aging Mode;W;"{""0"": ""Normal Mode"", ""1"": ""Aging Mode""}";;;;0;Can be set at standy   state Only;;;;;;;;;;
;;43;DTC;Device Type Code;;&*6;;;;;;;;;;;;;;;
;;45;Sys Year;System time-year;W;Year offset is 2000;;;;;;;;;;;;;;;
;;46;Sys Month;System time- Month;W;;;;;;;;;;;;;;;;
;;47;Sys Day;System time- Day;W;;;;;;;;;;;;;;;;
;;48;Sys Hour;System time- Hour;W;;;;;;;;;;;;;;;;
;;49;Sys Min;System time- Min;W;;;;;;;;;;;;;;;;
;;50;Sys Sec;System time- Second;W;;;;;;;;;;;;;;;;
;ASCII;59-66;Manufacturer Info;Manufacturer information (high);;;ASCII;;;;;;;;;;;;;;
;;67;FW Build No_ 4;Control FW Build No. 2;;;ASCII;;;;;;;;;;;;;;
;;68;FW Build No_ 3;Control FW Build No. 1;;;;;;;;;;;;;;;;;
;;69;FW Build No_ 2;COM FW Build No. 2;;;;;;;;;;;;;;;;;
;;70;FW Build No_ 1;COM FW Build No. 1;;;ASCII;;;;;;;;;;;;;;
;;72;Sys Weekly;Sys Weekly;W;0-6;;;;;;;;;;;;;;;
;;73;ModbusVersion;Modbus Version;;Eg:207 is V2.07;Int(16bit s);;;;;;;;;;;;;;
;;76;Rate Watt H ;Rate active power(high) ;;;0.1W;;;;;;;;;;;;;;
;;77;Rate Watt L ;Rate active power(low) ;;;0.1W;;;;;;;;;;;;;;
;;78;Rate VA H ;Rata apparent power (high) ;;;0.1VA;;;;;;;;;;;;;;
;;79;Rate VA L ;Rate apparent power (low) ;;;0.1VA;;;;;;;;;;;;;;
;;80;Factory;The ODM Info code;;;;;;;;;;;;;;;;;
;;162;BLVersion2;Boot loader version2;R;;;;;;;;;;;;;;;;
