variable name,data type,register,documented name,unit,values,writable,note
,SHORT,208,Average inverter power,1W,,R,"Positive numbers indicate inverter output, negative numbers indicate inverter input"
,SHORT,209,Inverter charging power,1W,,R,
,SHORT,210,Output effective voltage,0.1V,,R,
,SHORT,211,Output effective Current,0.1A,,R,
,SHORT,212,Output frequency,0.01Hz,,R,
,SHORT,213,Output active power,1W,,R,
,SHORT,214,Output apparent power,1VA,,R,
,SHORT,215,Battery average voltage,0.1V,,R,
,SHORT,216,Battery average Current,0.1A,,R,
,SHORT,217,Battery average power,1w,,R,
,SHORT,219,PV average voltage,0.1V,,R,
,SHORT,220,PV average Current,0.1A,,R,
,SHORT,223,PV average power,1W,,R,
,SHORT,224,PV charging average power,1W,,R,
,SHORT,225,load percentage,1%,,R,
,SHORT,226,DCDC Temperature,1 C,,R,
,SHORT,227,Inverter Temperature,1 C,,R,
,USHORT,229,Battery percentage,1%,,R,
,SHORT,232,Battery average current,0.1A,,R,"Positive number means charging, negative number means discharging"
,SHORT,233,Inverter charging average current,0.1A,,R,
,SHORT,234,PV charging average current,0.1A,,R,
,USHORT,300,Output Mode,,"{""0"": ""Single"", ""1"": ""Parallel"", ""2"": ""3 Phase-P1"", ""3"": ""3 Phase-P2"", ""4"": ""3 Phase-P3"", ""5"": ""Split Phase-P1"", ""6"": ""Split Phase-P2""} ",R/W,
,USHORT,301,Output priority,,"{""0"": ""Utility-PV-Battery"", ""1"": ""PV-Utility-Battery"", ""2"": ""PV-Battery-Utility""} ",R/W,0: Utility-PV-Battery 1:PV-Utility-Battery 2: PV-Battery-Utility
,USHORT,302,Input voltage range,,"{""0"": ""Wide range"", ""1"": ""Narrow range""}",R/W,0: Wide range 1: Narrow range
,USHORT,303,Buzzer mode,,"{""0"": ""Mute in all situations"", ""1"": ""Sound when the input source is changed or there is a specific warning or fault"", ""2"": ""Sound when there is a specific warning or fault"", ""3"": ""Sound when fault occurs""}",R/W,0: Mute in all situations; 1: Sound when the input source is changed or there is a specific warning or fault; 2: Sound when there is a specific warning or fault; 3: Sound when fault occurs;
,USHORT,305,LCD backlight,,"{""0"": ""Timed off"", ""1"": ""Always on""} ",R/W,0: Timed off; 1: Always on;
,USHORT,306,LCD automatically returns to the homepage,,"{""0"": ""Do not return automatically;"", ""1"": ""Automatically return after 1 minute;""}",R/W,0: Do not return automatically; 1: Automatically return after 1 minute;
,USHORT,307,Energy_saving mode,,"{""0"": ""Energy-saving mode is off;"", ""1"": ""Energy-saving mode is on;""}",R/W,0: Energy-saving mode is off; 1: Energy-saving mode is on;
,USHORT,308,Overload automatic restart,,"{""0"": ""Overload failure will not restart;"", ""1"": ""Automatic restart after overload failure;""}",R/W,0: Overload failure will not restart; 1: Automatic restart after overload failure;
,USHORT,309,Over temperature automatic restart,,"{""0"": ""Over temperature failure will not restart;"", ""1"": ""Automatic restart after over-temperature fault;""}",R/W,0: Over temperature failure will not restart; 1: Automatic restart after over- temperature fault
,USHORT,310,Overload transfer to bypass enabled,,"{""0"": ""Disable;"", ""1"": ""Enable;""}",R/W,0: Disable; 1: Enable;
,USHORT,313,Battery Eq mode is enabled,,"{""0"": ""Disable;"", ""1"": ""Enable;""} ",R/W,0: Disable; 1: Enable;
,USHORT,320,Output voltage,0.1v,,R/W,
,USHORT,321,Output frequency,0.01Hz,,R/W,
,USHORT,323,Battery overvoltage protection point,0.1V,,R/W,
,USHORT,324,Max charging voltage,0.1V,,R/W,
,USHORT,325,Floating charging voltage,0.1V,,R/W,
,USHORT,326,Battery discharge recovery point in mains mode,0.1V,,R/W,
,USHORT,327,Battery low voltage protection point in mains mode,0.1V,,R/W,
,USHORT,329,Battery low voltage protection point in off_grid mode,0.1V,,R/W,
,USHORT,331,Battery charging priority,,"{""0"": ""Utility priority;"", ""1"": ""PV priority;"", ""2"": ""PV is at the same level as the Utility;"", ""3"": ""Only PV charging is allowed;""}",R/W,0: Utility priority; 1: PV priority; 2: PV is at the same level as the Utility; 3: Only PV charging is allowed
,USHORT,332,Maximum charging current,0.1A,,R/W,
,USHORT,333,Maximum mains charging current,0.1A,,R/W,
,USHORT,334,Eq Charging voltage,0.1V,,R/W,
,USHORT,335,bat_eq_time,min,0~900,R/W,Range: 0~900
,USHORT,336,Eq Timeout exit,min,0~900,R/W,Range: 0~900
,USHORT,337,Two Eq charging intervals,day,1~90,R/W,Range:1~90
,USHORT,406,Turn on mode,,"{""0"": ""Can be turn-on locally or remotely;"", ""1"": ""Only local turn-on;"", ""2"": ""Only remote turn-on;""}",R/W,0: Can be turn-on locally or remotely 1: Only local turn-on 2: Only remote turn-on
,USHORT,420,Remote switch,,"{""0"": ""Remote shutdown"", ""1"": ""Remote turn-on""}",R/W,0: Remote shutdown 1: Remote turn-on
,USHORT,426,Exit the fault mode,,,W,"1: Exit the fault state(only when the inverter enters the fault mode , it could be available )"
,USHORT,643,Rated Power,W,,R,
