variable name;data type;register;documented name;description;customer write;values;unit;initial value;note;;;
Serial Number;ASCII;23-27;Serial No;Serial number 5;W;[A-Z0-9];;;;;;
;;28;Moudle H;Inverter Moudle (high);W;;;Can be set at standy state Only	 		 		 		 ;;;;
;;29;Moudle L;Inverter Moudle (low);W;P-battery type: 0: Lead_Acid 1: Lithium 2: CustomLead_Acid U-user type: ;;Can be set at;;;;
;;30;Com Address;Communicate address;W;1~254;;;1;;;
;;31;FlashStart;Update firmware;W;0x0001: own 0X0100: control broad;;;;;;
;;32;Reset User Info;Reset User Information;W;0x0001;;;;;;
;;33;Reset to factory;Reset to factory;W;0x0001;;;;;;
;;34;MaxChargeCurr;Max Charge Current;W;0~180;1A;;70;;;
;;35;BulkChargeVolt;Bulk Charge Volt;W;500~640;0.1V;;564;;;
;;36;FloatChargeVolt;Float Charge Volt;W;500~560;0.1V;;540;;;
;;37;BatLowToUtiVolt;Bat Low Volt Switch To Uti;W;200~640 (non Lithium) or 5~100 (Lithium);0.1V Or 1%;;460 Or 50%;;;
;;38;ACChargeCurr;AC Charge Current;W;0~100;1A;;30;;;
;;39;Battery Type;Battery Type;W;"{""0"": ""AGM"", ""1"": ""FLD"", ""2"": ""USE"", ""3"": ""Lithium"", ""4"": ""USE2""}";;;1;Can be set at standy Only ;;
;;40;Aging Mode;Aging Mode;W;"{""0"": ""Normal Mode"", ""1"": ""Aging Mode""}";;;;;0;Can be set at standy state Only
;1bit;41;Etl check enable;;W;"{""b0"":""Etl check enable"", ""b1"" : ""Pv ISO Check enable""}";;;;0:Disable; 1:Enable;
;1bit;41.b1;Pv ISO Check enable;;;;;;;;;
;;42;Safety Type;;W;"{""1"": ""standard"", ""2"": ""ETL"", ""3"": ""AS4777"", ""4"": ""CQC"", ""5"": ""VDE4105""}";1;;;;;
;;43;DTC;Device Type Code;&*6;;;;;;;
;;45;Sys Year;System time-year;W;Year offset is 2000;;;;;;
;;46;Sys Month;System time- Month;W;;;;;;;
;;47;Sys Day;System time- Day;W;;;;;;;
;;48;Sys Hour;System time- Hour;W;;;;;;;
;;49;Sys Min;System time- Min;W;;;;;;;
;;50;Sys Sec;System time- Second;W;;;;;;;
;;52;uwAcVoltHighL;;;;;;;;;
;;53;uwAcVoltLowL;;;;;;;;;
;;54;uwAcFreqHighL;;;;;;;;;
;;55;uwAcFreqLowL;;;;;;;;;
;ASCII;59-66;Manufacturer Info;Manufacturer information (high);;ASCII;;;;;;
;;67;FW Build No_ 4;Control FW Build No. 2;;;;;;;;
;;68;FW Build No_ 3;Control FW Build No. 1;;;;;;;;
;;69;FW Build No_ 2;COM FW Build No. 2;;;;;;;;
;;70;FW Build No_ 1;COM FW Build No. 1;;;;;;;;
;;72;Sys Weekly;Sys Weekly;W;0-6;;;;;;
;;73;ModbusVersion;Modbus Version;;Eg:207 is V2.07 Int(16bit s);0.01;;;;;
;;75;SCC_ComMode;SCC Communication;;;;For;BMS;;;
;;76;Rate Watt H;Rate active power(high);;;0.1W;;;;;
;;77;Rate Watt L;Rate active power(low);;;0.1W;;;;;
;;78;Rate VA H;Rata apparent power (high);;;0.1VA;;;;;
;;79;Rate VA L;Rate apparent power (low);;;0.1VA;;;;;
;;80;ComboardVer;Communicaiton board Version;;;;For boad;bms;;;
;;81;uwBatPieceNum;;;;;;;;;
;;82;wBatLowCutOff;Bat voltage low cutoff;;200~640 (non Lithium) or 5~100 (Lithium);0.1V Or 1%;460 Or 50%;;;;
;;84;NomGridVolt;;;;;;;;;
;;85;NomGridFreq;;;;;;;;;
;;86;NomBatVolt;;;;;;;;;
;;87;NomPvCurr;;;;;;;;;
;;88;NomAcChgCurr;;;;;;;;;
;;89;NomOpVolt;;;;;;;;;
;;90;NomOpFreq;;;;;;;;;
;;91;NomOpPow;;;;;;;;;
;;95;uwAC2BatVolt;AC switch to Battery;;200~640 (non Lithium) or 5~100 (Lithium);0.1V Or 1%;460 Or 50%;;;;
;;96;BypEnable;;;;;;;;;
;;97;PowSavingEn;;;;;;;;;
;;98;SpowBalEn;;;;;;;;;
;;99;ClrEnergyToday;;;;;;;;;
;;100;clrEnergyAll;;;;;;;;;
;;101;BurnInTestEn;;;;;;;;;
;;102;ManualStartEn;;;;;;;;;
;;103;SciLossChkEn;;;;;;;;;
;;104;BlightEn;;;;;;;;;
;;105;ParaMaxChgCurr;Parallel Maximum current;System charge;;;;;;;
;;106;LiProtocolType;Protocol battery;type;for;;1~99;;1;;
;;107;AudioAlarmEn;;;;;;;;;
;;108;uwEqEn;;;;;;;;;
;;109;uwEqChgVolt;;;;;;;;;
;;110;uwEqTime;;;;;;;;;
;;111;uwEqTimeOut;;;;;;;;;
;;112;uwEqInterval;;;;;;;;;
;;113;uwMaxDisChgCu rr;;;;;;;;;
;;162;BLVersion2;Boot loader version2;;;R;;;;M3 bootloader version;
