variable name,data type,register,documented name,description,writable,values,unit,note
,int16,22,vebus/Ac/ActiveIn/CurrentLimit,com.victronenergy.vebus-Active input current limit,yes,-3276.8 to 3276.7,10A,"See Venus-OS manual for limitations, for example when VE.Bus BMS or DMC is installed."
,int16,23,vebus/Ac/Out/L1/P,com.victronenergy.vebus-Output power 1,no,-327680 to 327670,0.1VA or Watts,Sign meaning equal to Output current
,int16,24,vebus/Ac/Out/L2/P,com.victronenergy.vebus-Output power 2,no,-327680 to 327670,0.1VA or Watts,Sign meaning equal to Output current
,int16,25,vebus/Ac/Out/L3/P,com.victronenergy.vebus-Output power 3,no,-327680 to 327670,0.1VA or Watts,Sign meaning equal to Output current
,uint16,26,vebus/Dc/0/Voltage,com.victronenergy.vebus-Battery voltage,no,0 to 655.35,100V DC,
,int16,27,vebus/Dc/0/Current,com.victronenergy.vebus-Battery current,no,-3276.8 to 3276.7,10A DC,Positive: current flowing from the Multi to the dc system. Negative: the other way around.
,uint16,28,vebus/Ac/NumberOfPhases,com.victronenergy.vebus-Phase count,no,0 to 65536,1count,
,uint16,29,vebus/Ac/ActiveIn/ActiveInput,com.victronenergy.vebus-Active input,no,"{""0"":""AC Input 1"",""1"":""AC Input 2"",""240"":""Disconnected""}",,
,uint16,30,vebus/Soc,com.victronenergy.vebus-VE.Bus state of charge,yes,0 to 6553.5,10%,
,uint16,31,vebus/State,com.victronenergy.vebus-VE.Bus state,no,"{""0"":""Off"",""1"":""Low Power"",""2"":""Fault"",""3"":""Bulk"",""4"":""Absorption"",""5"":""Float"",""6"":""Storage"",""7"":""Equalize"",""8"":""Passthru"",""9"":""Inverting"",""10"":""Power assist"",""11"":""Power supply"",""244"":""Sustain"",""252"":""External control""}",,
,uint16,32,vebus/VebusError,com.victronenergy.vebus-VE.Bus Error,no,"{""0"":""No error"",""1"":""VE.Bus Error 1: Device is switched off because one of the other phases in the system has switched off"",""2"":""VE.Bus Error 2: New and old types MK2 are mixed in the system"",""3"":""VE.Bus Error 3: Not all- or more than- the expected devices were found in the system"",""4"":""VE.Bus Error 4: No other device whatsoever detected"",""5"":""VE.Bus Error 5: Overvoltage on AC-out"",""6"":""VE.Bus Error 6: Error in DDC Program"",""7"":""VE.Bus BMS connected- which requires an Assistant- but no assistant found"",""10"":""VE.Bus Error 10: System time synchronisation problem occurred"",""14"":""VE.Bus Error 14: Device cannot transmit data"",""16"":""VE.Bus Error 16: Dongle missing"",""17"":""VE.Bus Error 17: One of the devices assumed master status because the original master failed"",""18"":""VE.Bus Error 18: AC Overvoltage on the output of a slave has occurred while already switched off"",""22"":""VE.Bus Error 22: This device cannot function as slave"",""24"":""VE.Bus Error 24: Switch-over system protection initiated"",""25"":""VE.Bus Error 25: Firmware incompatibility. The firmware of one of the connected device is not sufficiently up to date to operate in conjunction with this device"",""26"":""VE.Bus Error 26: Internal error""}",,
,uint16,33,vebus/Mode,com.victronenergy.vebus-Switch Position,yes,"{""1"": ""Charger Only"", ""2"": ""Inverter Only"", ""3"": ""On"", ""4"": ""Off""}",,"See Venus-OS manual for limitations, for example when VE.Bus BMS or DMC is installed."
,uint16,34,vebus/Alarms/HighTemperature,com.victronenergy.vebus-Temperature alarm,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,35,vebus/Alarms/LowBattery,com.victronenergy.vebus-Low battery alarm,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,36,vebus/Alarms/Overload,com.victronenergy.vebus-Overload alarm,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,int16,37,vebus/Hub4/L1/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 1,yes,-32768 to 32767,1W,ESS Mode 3 - Instructs the multi to charge/discharge with giving power. Negative = discharge. Used by the control loop in grid-parallel systems.
,uint16,38,vebus/Hub4/DisableCharge,com.victronenergy.vebus-ESS disable charge flag phase,yes,"{""0"": ""Charge allowed"", ""1"": ""Charge disabled""}",,"ESS Mode 3 - Enables/Disables charge (0=enabled, 1=disabled). Note that power setpoint will yield to this setting"
,uint16,39,vebus/Hub4/DisableFeedIn,com.victronenergy.vebus-ESS disable feedback flag phase,yes,0=Feed in allowed;1=Feed in disabled,,"ESS Mode 3 - Enables/Disables feedback (0=enabled, 1=disabled). Note that power setpoint will yield to this setting"
,int16,40,vebus/Hub4/L2/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 2,yes,-32768 to 32767,1W,ESS Mode 3 - Instructs the multi to charge/discharge with giving power. Negative = discharge. Used by the control loop in grid-parallel systems.
,int16,41,vebus/Hub4/L3/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 3,yes,-32768 to 32767,1W,ESS Mode 3 - Instructs the multi to charge/discharge with giving power. Negative = discharge. Used by the control loop in grid-parallel systems.
,uint16,42,vebus/Alarms/TemperatureSensor,com.victronenergy.vebus-Temperatur sensor alarm,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,43,vebus/Alarms/VoltageSensor,com.victronenergy.vebus-Voltage sensor alarm,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,44,vebus/Alarms/L1/HighTemperature,com.victronenergy.vebus-Temperature alarm L1,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,45,vebus/Alarms/L1/LowBattery,com.victronenergy.vebus-Low battery alarm L1,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,46,vebus/Alarms/L1/Overload,com.victronenergy.vebus-Overload alarm L1,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,47,vebus/Alarms/L1/Ripple,com.victronenergy.vebus-Ripple alarm L1,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,48,vebus/Alarms/L2/HighTemperature,com.victronenergy.vebus-Temperature alarm L2,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,49,vebus/Alarms/L2/LowBattery,com.victronenergy.vebus-Low battery alarm L2,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,50,vebus/Alarms/L2/Overload,com.victronenergy.vebus-Overload alarm L2,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,51,vebus/Alarms/L2/Ripple,com.victronenergy.vebus-Ripple alarm L2,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,52,vebus/Alarms/L3/HighTemperature,com.victronenergy.vebus-Temperature alarm L3,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,53,vebus/Alarms/L3/LowBattery,com.victronenergy.vebus-Low battery alarm L3,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,54,vebus/Alarms/L3/Overload,com.victronenergy.vebus-Overload alarm L3,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,55,vebus/Alarms/L3/Ripple,com.victronenergy.vebus-Ripple alarm L3,no,"{""0"": ""Ok"", ""1"": ""Warning"", ""2"": ""Alarm""}",,
,uint16,56,vebus/PvInverter/Disable,com.victronenergy.vebus-Disable PV inverter,yes,"{""0"": ""PV enabled"", ""1"": ""PV disabled""}",,Disable PV inverter on AC out (using frequency shifting). Only works when vebus device is in inverter mode. Needs ESS or PV inverter assistant
,uint16,57,vebus/Bms/AllowToCharge,com.victronenergy.vebus-VE.Bus BMS allows battery to be charged,no,"{""0"": ""No"", ""1"": ""Yes""}",,VE.Bus BMS allows the battery to be charged
,uint16,58,vebus/Bms/AllowToDischarge,com.victronenergy.vebus-VE.Bus BMS allows battery to be discharged,no,"{""0"": ""No"", ""1"": ""Yes""}",,VE.Bus BMS allows the battery to be discharged
,uint16,59,vebus/Bms/BmsExpected,com.victronenergy.vebus-VE.Bus BMS is expected,no,"{""0"": ""No"", ""1"": ""Yes""}",,Presence of VE.Bus BMS is expected based on vebus settings (presence of ESS or BMS assistant)
,uint16,60,vebus/Bms/Error,com.victronenergy.vebus-VE.Bus BMS error,no,"{""0"": ""No"", ""1"": ""Yes""}",,
,int16,61,vebus/Dc/0/Temperature,com.victronenergy.vebus-Battery temperature,no,-3276.8 to 3276.7,10Degrees celsius,
,uint16,62,vebus/SystemReset,com.victronenergy.vebus-VE.Bus Reset,yes,0 to 65535,1=VE.Bus reset,Any write action will cause a reset
,uint16,63,vebus/Alarms/PhaseRotation,com.victronenergy.vebus-Phase rotation warning,no,"{""0"": ""Ok"", ""1"": ""Warning""}",,
,uint16,64,vebus/Alarms/GridLost,com.victronenergy.vebus-Grid lost alarm,no,"{""0"": ""Ok"", ""2"": ""Alarm""}",,
,uint16,65,vebus/Hub4/DoNotFeedInOvervoltage,com.victronenergy.vebus-Feed DC overvoltage into grid,yes,"{""0"": ""Feed in overvoltage"", ""1"": ""Do not feed in overvoltage""}",,
,uint16,66,vebus/Hub4/L1/MaxFeedInPower,com.victronenergy.vebus-Maximum overvoltage feed-in power L1,yes,0 to 6553500,0.01W,
,uint16,67,vebus/Hub4/L2/MaxFeedInPower,com.victronenergy.vebus-Maximum overvoltage feed-in power L2,yes,0 to 6553500,0.01W,
,uint16,68,vebus/Hub4/L3/MaxFeedInPower,com.victronenergy.vebus-Maximum overvoltage feed-in power L3,yes,0 to 6553500,0.01W,
,uint16,69,vebus/Ac/State/IgnoreAcIn1,com.victronenergy.vebus-AC input 1 ignored,no,"{""0"": ""AC input not ignored"", ""1"": ""AC input ignored""}",,
,uint16,70,vebus/Ac/State/IgnoreAcIn2,com.victronenergy.vebus-AC input 2 ignored,no,"{""0"": ""AC input not ignored"", ""1"": ""AC input ignored""}",,
,uint16,71,vebus/Hub4/TargetPowerIsMaxFeedIn,com.victronenergy.vebus-AcPowerSetpoint acts as feed-in limit,yes,0=AcPowerSetpoint interpreted normally; 1=AcPowerSetpoint is OvervoltageFeedIn limit,,"When set to 1, the Multi behaves as if DoNotFeedInOvervoltage is disabled and AcPowerSetpoint is the maximum allowed feed-in"
,uint16,72,vebus/Hub4/FixSolarOffsetTo100mV,com.victronenergy.vebus-Solar offset voltage,yes,"{""0"": ""OvervoltageFeedIn uses 1V offset"", ""1"": ""OvervoltageFeedIn uses 0.1V offset""}",,"When feeding overvoltage into the grid, the solar chargers are set to a higher voltage. This flag determines the size of the offset (per 12V increment)."
,uint16,73,vebus/Hub4/Sustain,com.victronenergy.vebus-Sustain active,no,"{""0"": ""Sustain inactive"", ""1"": ""Sustain active""}",,
,uint32,74,vebus/Energy/AcIn1ToAcOut,com.victronenergy.vebus-Energy from AC-In 1 to AC-out,no,0 to 42949672.96,100kWh,PLEASE NOTE:
,uint32,76,vebus/Energy/AcIn1ToInverter,com.victronenergy.vebus-Energy from AC-In 1 to battery,no,0 to 42949672.96,100kWh,Energy counters from the Multi(s) are volatile.
,uint32,78,vebus/Energy/AcIn2ToAcOut,com.victronenergy.vebus-Energy from AC-In 2 to AC-out,no,0 to 42949672.96,100kWh,These energy counters reset to zero when the Multi is switched off.
,uint32,80,vebus/Energy/AcIn2ToInverter,com.victronenergy.vebus-Energy from AC-In 2 to battery,no,0 to 42949672.96,100kWh,These energy counters ALSO reset to zero when the GX-device reboots.
,uint32,82,vebus/Energy/AcOutToAcIn1,com.victronenergy.vebus-Energy from AC-out to AC-in 1 (reverse fed PV),no,0 to 42949672.96,100kWh,
,uint32,84,vebus/Energy/AcOutToAcIn2,com.victronenergy.vebus-Energy from AC-out to AC-in 2 (reverse fed PV),no,0 to 42949672.96,100kWh,
,uint32,86,vebus/Energy/InverterToAcIn1,com.victronenergy.vebus-Energy from battery to AC-in 1,no,0 to 42949672.96,100kWh,
,uint32,88,vebus/Energy/InverterToAcIn2,com.victronenergy.vebus-Energy from battery to AC-in 2,no,0 to 42949672.96,100kWh,
,uint32,90,vebus/Energy/InverterToAcOut,com.victronenergy.vebus-Energy from battery to AC-out,no,0 to 42949672.96,100kWh,
,uint32,92,vebus/Energy/OutToInverter,com.victronenergy.vebus-Energy from AC-out to battery (typically from PV-inverter),no,0 to 42949672.96,100kWh,
,uint16,94,vebus/Alarms/BmsPreAlarm,com.victronenergy.vebus-Low cell voltage imminent,no,"{""0"": ""OK"", ""1"": ""Warning""}",,
,uint16,95,vebus/VebusChargeState,com.victronenergy.vebus-Charge state,no,"{""0"": ""Initialising"", ""1"": ""Bulk"", ""2"": ""Absorption"", ""3"": ""Float"", ""4"": ""Storage"", ""5"": ""Absorb repeat"", ""6"": ""Forced absorb"", ""7"": ""Equalise"", ""8"": ""Bulk stopped"", ""9"": ""Unknown""}",,
,int32,96,vebus/Hub4/L1/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 1,yes,-2147483648 to 2147483648,1W,"32-bit compliment to 37, 40 and 41"
,int32,98,vebus/Hub4/L2/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 2,yes,-2147483648 to 2147483648,1W,
,int32,100,vebus/Hub4/L3/AcPowerSetpoint,com.victronenergy.vebus-ESS power setpoint phase 3,yes,-2147483648 to 2147483648,1W,
,uint16,102,vebus/Dc/0/PreferRenewableEnergy,com.victronenergy.vebus-Prefer Renewable Energy,yes,"{""0"": ""Renewable energy not preferred"", ""1"": ""Renewable energy preferred""}",,Must be enabled in VE.Configure. This causes the system to charge from the grid at a lower sustain voltage. See manual.
,uint16,103,vebus/Ac/Control/RemoteGeneratorSelected,com.victronenergy.vebus-Select Remote Generator,yes,"{""0"": ""Generator not selected"", ""1"": ""Generator selected""}",,Informs Multi that a generator is active on AC-in
,uint16,104,vebus/Ac/State/RemoteGeneratorSelected,com.victronenergy.vebus-Remote generator selected,no,"{""0"": ""Generator not selected"", ""1"": ""Generator selected""}",,
,uint16,105,vebus/RedetectSystem,com.victronenergy.vebus-Redetect VE.Bus system,yes,"{""0"": ""No action"", ""1"": ""Redetect system""}",,
,uint16,106,vebus/Devices/0/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 1,yes,0 to 655.35,100,
,uint16,107,vebus/Devices/1/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 2,yes,0 to 655.35,100,
,uint16,108,vebus/Devices/2/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 3,yes,0 to 655.35,100,
,uint16,109,vebus/Devices/3/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 4,yes,0 to 655.35,100,
,uint16,110,vebus/Devices/4/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 5,yes,0 to 655.35,100,
,uint16,111,vebus/Devices/5/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 6,yes,0 to 655.35,100,
,uint16,112,vebus/Devices/6/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 7,yes,0 to 655.35,100,
,uint16,113,vebus/Devices/7/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 8,yes,0 to 655.35,100,
,uint16,114,vebus/Devices/8/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 9,yes,0 to 655.35,100,
,uint16,115,vebus/Devices/9/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 10,yes,0 to 655.35,100,
,uint16,116,vebus/Devices/10/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 11,yes,0 to 655.35,100,
,uint16,117,vebus/Devices/11/Settings/AssistCurrentBoostFactor,com.victronenergy.vebus-Configured boost factor for VE.Bus unit 12,yes,0 to 655.35,100,
,uint16,118,vebus/Devices/0/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 1,yes,0 to 655.35,100V AC,
,uint16,119,vebus/Devices/1/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 2,yes,0 to 655.35,100V AC,
,uint16,120,vebus/Devices/2/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 3,yes,0 to 655.35,100V AC,
,uint16,121,vebus/Devices/3/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 4,yes,0 to 655.35,100V AC,
,uint16,122,vebus/Devices/4/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 5,yes,0 to 655.35,100V AC,
,uint16,123,vebus/Devices/5/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 6,yes,0 to 655.35,100V AC,
,uint16,124,vebus/Devices/6/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 7,yes,0 to 655.35,100V AC,
,uint16,125,vebus/Devices/7/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 8,yes,0 to 655.35,100V AC,
,uint16,126,vebus/Devices/8/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 9,yes,0 to 655.35,100V AC,
,uint16,127,vebus/Devices/9/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 10,yes,0 to 655.35,100V AC,
,uint16,128,vebus/Devices/10/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 11,yes,0 to 655.35,100V AC,
,uint16,129,vebus/Devices/11/Settings/InverterOutputVoltage,com.victronenergy.vebus-Configured output voltage for VE.Bus unit 12,yes,0 to 655.35,100V AC,
,uint16,130,vebus/Devices/0/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 1,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,131,vebus/Devices/1/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 2,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,132,vebus/Devices/2/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 3,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,133,vebus/Devices/3/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 4,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,134,vebus/Devices/4/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 5,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,135,vebus/Devices/5/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 6,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,136,vebus/Devices/6/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 7,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,137,vebus/Devices/7/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 8,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,138,vebus/Devices/8/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 9,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,139,vebus/Devices/9/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 10,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
